File                                sources  ra_min      ra_max      dec_min     dec_max
GaiaSource_000000-003111.csv.fapec  528333   33.774816   56.234039   0.005615    14.466535
GaiaSource_003112-005263.csv.fapec  518501   39.392375   64.680914   9.600090    19.461086
GaiaSource_005264-006601.csv.fapec  513525   47.836959   67.487725   14.488111   24.621153
GaiaSource_006602-007952.csv.fapec  514380   45.009484   61.869721   16.966905   27.269101
GaiaSource_007953-010234.csv.fapec  523111   28.146313   59.062070   9.622951    29.989825
GaiaSource_010235-012597.csv.fapec  526885   22.512599   49.199623   14.485783   29.987152
GaiaSource_012598-014045.csv.fapec  514786   39.381007   56.237000   22.037088   32.785447
GaiaSource_014046-015369.csv.fapec  517977   33.764421   53.432379   24.629010   35.682306
GaiaSource_015370-016240.csv.fapec  519421   39.376349   50.616473   30.527740   39.448348
GaiaSource_016241-017018.csv.fapec  511448   42.201298   73.123863   19.476880   41.804662
GaiaSource_017019-017658.csv.fapec  508306   61.886209   75.928653   23.321852   29.994867
GaiaSource_017659-018028.csv.fapec  515027   68.913424   78.747964   27.282991   32.792924
GaiaSource_018029-018472.csv.fapec  510416   60.654848   75.931968   24.635732   35.681747
GaiaSource_018473-019161.csv.fapec  509254   56.260791   67.496950   25.793440   32.790198
GaiaSource_019162-019657.csv.fapec  508030   57.658854   70.298059   30.002932   35.678202
GaiaSource_019658-020091.csv.fapec  511697   63.289733   73.120603   32.805547   38.676241
GaiaSource_020092-020493.csv.fapec  515952   61.882940   79.448427   30.002125   41.808107
GaiaSource_020494-020747.csv.fapec  529171   75.940726   82.262337   30.696992   35.682101
GaiaSource_020748-020984.csv.fapec  523771   78.759774   84.370420   33.511943   38.297460
GaiaSource_020985-021233.csv.fapec  512229   73.135733   81.906439   32.799371   38.675278
GaiaSource_021234-021441.csv.fapec  514983   75.247163   81.557031   35.691140   40.220602
GaiaSource_021442-021665.csv.fapec  522006   77.349065   87.181864   35.691088   41.804738
GaiaSource_021666-021919.csv.fapec  528274   81.567938   90.000046   38.116331   43.397991
GaiaSource_021920-022158.csv.fapec  518148   79.456656   89.999985   38.693351   44.987554
GaiaSource_022159-022410.csv.fapec  519910   78.755967   90.000901   41.015971   46.559054
GaiaSource_022411-022698.csv.fapec  516986   70.316323   90.000000   35.689899   48.136194
GaiaSource_022699-022881.csv.fapec  513206   70.493368   78.748386   38.684790   42.604299
GaiaSource_022882-023058.csv.fapec  516358   69.617200   78.566825   38.688776   44.989264
