 oidref |                 id                 
--------|------------------------------------
267306  |"Gaia DR3 546946291098443904"       
267306  |"NAME NC 12"                        
267669  |"Gaia DR3 545560867790611072"       
267669  |"HIP  13192"                        
267669  |"NAME Nushagak"                     
267823  |"Gaia DR3 547239242226092672"       
267823  |"NAME HFLLZOA B085"                 
268049  |"Gaia DR3 542873489573441920"       
268049  |"NAME NC 16"                        
270236  |"Gaia DR3 475291255759042048"       
270236  |"NAME HD 26936BC"                   
270532  |"Gaia DR3 470826482637310080"       
270532  |"NAME Stein 2051A"                  
270532  |"HIP  21088"                        
270532  |"NAME Stein 2051"                   
270627  |"Gaia DR3 470826482637310848"       
270627  |"NAME Stein 2051 B"                 
272647  |"Gaia DR3 206699527367851392"       
272647  |"NAME NC 28"                        
276912  |"NAME OKM2018 SWIFT J2003.4+7023"   
276912  |"Gaia DR3 2251334174807555712"      
277638  |"Gaia DR3 2278766749400949888"      
277638  |"NAME HH 199 IRS"                   
278043  |"Gaia DR3 2283817012468260352"      
278043  |"NAME NC 95"                        
279543  |"NAME [OKS98] HA 6 S"               
279543  |"Gaia DR3 561016840182392960"       
279965  |"NAME OKM2018 SWIFT J0306.4+7641"   
279965  |"Gaia DR3 548945375036267904"       
280777  |"Gaia DR3 543632156893977472"       
280777  |"NAME NC 15"                        
284455  |"Gaia DR3 211810233512673792"       
284455  |"NAME Capella H"                    
284461  |"Gaia DR3 211810233512673920"       
284461  |"NAME Capella L"                    
284536  |"HIP  24608"                        
284536  |"NAME Capella"                      
285519  |"Gaia DR3 2145277550935526784"      
285519  |"NAME BY Dra C"                     
288114  |"HIP  94376"                        
288114  |"NAME Altais"                       
288537  |"Gaia DR3 2261614264931057664"      
288537  |"HIP  96100"                        
288537  |"NAME Alsafi"                       
290114  |"Gaia DR3 2300223272142003968"      
290114  |"NAME NC 94"                        
294894  |"Gaia DR3 283924795994656384"       
294894  |"NAME HD 32142BC"                   
295209  |"Gaia DR3 280034723855984256"       
295209  |"NAME NC 36"                        
295418  |"Gaia DR3 266644076682168064"       
295418  |"NAME NC 33"                        
