1400|02^h 27^m 15^s|+61° 37′ 28″|FSR 584
1500|17^h 35^m 44.8^s|−36° 21′ 42″|2MASS-GC04 (FSR 1767)
2200|16^h 23^m 35.36^s|−26° 31′ 32.7″|M4
2400|17^h 40^m 42.04^s|−53° 40′ 26.3″|NGC 6397
2500|17^h 58^m 40.00^s|−05° 04′ 30.0″|PWM 2 (Pfleiderer 2)
2900|18^h 07^m 20.58^s|−24° 59′ 50.7″|NGC 6544
3200|18^h 36^m 23.97^s|−23° 54′ 14.5″|M22
3300|17^h 46^m 04.2^s|−30° 51′ 53″|Camargo 1108
3600|17^h 27^m 44.24^s|−05° 04′ 47.5″|NGC 6366
3600|18^h 08^m 21.81^s|−19° 49′ 47.0″|2MASS-GC01
4000|17^h 36^m 58.2^s|−30° 08′ 50″|Camargo 1107
4000|19^h 10^m 52.11^s|−59° 59′ 02.2″|NGC 6752
4000|19^h 53^m 46.49^s|+18° 46′ 45.1″|M71
4200|18^h 48^m 49.7^s|−01° 29′ 50″|GLIMPSE-C01
4300|17^h 47^m 26.6^s|−26° 38′ 52″|Camargo 1109
4400|16^h 57^m 09.03^s|−04° 06′ 00.6″|M10
4470|17^h 48^m 54.7^s|−24° 10′ 12.0″|Gran 5
4500|00^h 24^m 05.67^s|−72° 04′ 52.6″|47 Tucanae
4500|17^h 32^m 34.3^s|−30° 16′ 48″|Camargo 1106
4600|06^h 45^m 52.8^s|−16° 45′ 00″|Gaia 1
4840|13^h 26^m 47.24^s|−47° 28′ 46.5″|Omega Centauri
4900|18^h 09^m 36.50^s|−20° 46′ 44″|2MASS-GC02
4910|01^h 52^m 28.8^s|+53° 02′ 24″|Gaia 2
5000|10^h 17^m 36.82^s|−46° 24′ 44.9″|NGC 3201
5000|18^h 06^m 31.3^s|−25° 09′ 42″|Camargo 1103
5040|16^h 47^m 14.18^s|−01° 56′ 54.7″|M12
5300|18^h 06^m 08.60^s|−27° 45′ 55.0″|NGC 6540
5300|18^h 15^m 35^s|−28° 18′ 00″|Minniti 4
5400|18^h 05^m 14.2^s|−24° 58′ 46″|Camargo 1104
5400|18^h 10^m 44.20^s|−07° 12′ 27.4″|IC 1276 (Palomar 7)
5400|19^h 39^m 59.71^s|−30° 57′ 53.1″|M55
5500|18^h 18^m 30.50^s|−16° 58′ 38.0″|Mercer 3 (GLIMPSE-C02)
5500|18^h 23^m 19.8^s|−13° 40′ 07″|Mercer 5
5500|18^h 24^m 32.81^s|−24° 52′ 11.2″|M28
5600|09^h 42^m 30.7^s|−52° 25′ 41″|Patchick 122
5600|17^h 25^m 29.11^s|−48° 25′ 19.8″|NGC 6352
5600|17^h 42^m 36^s|−25° 33′ 24″|Minniti 12
5800|12^h 25^m 45.40^s|−72° 39′ 32.7″|NGC 4372
5800|17^h 36^m 33.9^s|−28° 18′ 39″|Camargo 1105
5800|17^h 43^m 42.20^s|−26° 13′ 21.0″|Palomar 6
5800|18^h 03^m 36.40^s|−26° 04′ 21.0″|Terzan 10
5900|17^h 14^m 32.25^s|−29° 27′ 43.7″|NGC 6304
5900|17^h 44^m 33^s|−34° 43′ 24″|Minniti 11
5900|17^h 48^m 04.80^s|−24° 46′ 45.0″|Terzan 5
5900|19^h 18^m 02.10^s|+18° 34′ 18.0″|Palomar 10
6000|18^h 11^m 37^s|−29° 32′ 18″|Minniti 17
6010|18^h 09^m 17.60^s|−25° 54′ 31.3″|NGC 6553
6100|17^h 50^m 42.48^s|−29° 36′ 24.48″|Minniti 40
6200|17^h 35^m 54^s|−34° 59′ 18″|Minniti 13
6300|17^h 43^m 03^s|−31° 07′ 12″|Minniti 14
6300|18^h 01^m 49.1^s|−27° 49′ 33″|Djorgovski 2
6400|16^h 32^m 31.86^s|−13° 03′ 13.3″|M107
6500|18^h 14^m 06.60^s|−28° 38′ 06.0″|ESO 456-78 (AL 3, BH 261)
6600|12^h 59^m 34.46^s|−70° 52′ 32.2″|NGC 4833
6600|18^h 15^m 47^s|−29° 48′ 46″|Patchick 99
