47|04^h 26.9^m|+15° 52′|Hyades
86|12^h 22.5^m|+25° 51′|Coma Star Cluster
136|03^h 47.4^m|+24° 07′|Messier 45 Pleiades
167|10^h 43.2^m|−64° 24′|IC 2602 Southern Pleiades
172|03^h 26.0^m|+49° 07′|Alpha Persei Cluster
176|08^h 40.6^m|−53° 02′|IC 2391 Omicron Velorum Cluster
187|08^h 40.4^m|+19° 41′|Messier 44 Beehive Cluster
189|07^h 45.4^m|−37° 58′|NGC 2451 A
200|18^h 01.1^m|+02° 54′|Melotte 186
253|00^h 04.3^m|−29° 56′|Blanco 1
280|17^h 53.8^m|−34° 47′|Messier 7
311|21^h 31.8^m|+48° 27′|Messier 39
319|07^h 08^m|−37° 10′|Pi Puppis Cluster
325|06^h 26.4^m|−04° 45′|NGC 2232
330|18^h 39.0^m|−05° 27′|IC 4756
346|07^h 58.0^m|−60° 48′|NGC 2516 Southern Beehive Cluster
352|17^h 46.3^m|+05° 43′|IC 4665
365|08^h 47.8^m|−42° 29′|Trumpler 10
375|18^h 27.7^m|+06° 34′|NGC 6633
385|03^h 44.6^m|+32° 10′|IC 348
400|01^h 57.7^m|+37° 47′|NGC 752
405|11^h 06.4^m|−58° 40′|NGC 3532 Wishing Well Cluster
410|07^h 24.5^m|−31° 51′|Collinder 140
412|5^h 35.4^m|−05° 27′|Trapezium Cluster
433|08^h 10.8^m|−49° 18′|NGC 2547
438|05^h 35^m|+09° 56′|Lambda Orionis Cluster
479|17^h 04.7^m|−37° 59′|NGC 6281
487|17^h 40.1^m|−32° 13′|Messier 6 Butterfly Cluster
490|07^h 36.6^m|−14° 30′|Messier 47
499|02^h 42.1^m|+42° 46′|Messier 34
550|5^h 25.43^m|−05° 54′|NGC 1980
600|07^h 08^m|−37° 10′|Collinder 121
620|18^h 31.7^m|−19° 07′|Messier 25
628|17^h 57.0^m|−18° 59′|Messier 23
657|00^h 43.6^m|+61° 46′|NGC 225
666|14^h 35.6^m|−56° 37′|NGC 5662
678|14^h 07.4^m|−48° 20′|NGC 5460
710|06^h 46.0^m|−20° 46′|Messier 41
752|00^h 39.7^m|+61° 04′|NGC 189
756|16^h 03.3^m|−60° 26′|NGC 6025
770|08^h 13.7^m|−05° 45′|Messier 48
852|21^h 53.5^m|+47° 16′|IC 5146
858|06^h 51.75^m|+00° 28′|NGC 2301
888|17^h 24.8^m|−49° 56′|IC 4651
891|16^h 18.8^m|−57° 56′|NGC 6087 S Normae Cluster
908|08^h 51.3^m|+11° 48′|Messier 67
911|10^h 02.7^m|−60° 07′|NGC 3114
912|06^h 09.1^m|+24° 21′|Messier 35
912|08^h 00.7^m|−19° 04′|NGC 2509
913|06^h 41.0^m|+09° 53′|NGC 2264
1000|00^h 04.0^m|+68° 35′|Berkeley 59
1000|04^h 07.8^m|+62° 20′|NGC 1502
1000|07^h 02.6^m|−08° 23′|Messier 50
1037|07^h 44.6^m|−23° 52′|Messier 93
1052|06^h 08.4^m|+13° 58′|NGC 2169
1131|16^h 55.6^m|−39° 28′|NGC 6242
1148|01^h 08.3^m|+61° 35′|NGC 381
1200|16^h 46.1^m|−47° 01′|NGC 6204
1205|18^h 04.2^m|−22° 29′|Messier 21
1243|16^h 54.1^m|−41° 50′|NGC 6231
1296|18^h 20.0^m|−17° 06′|Messier 18
1300|07^h 40.8^m|−31° 41′|NGC 2439
1330|05^h 36.2^m|+34° 08′|Messier 36
1400|05^h 28.7^m|+35° 51′|Messier 38
1400|05^h 52.3^m|+32° 33′|Messier 37
1400|23^h 24.8^m|+61° 35′|Messier 52
1417|16^h 13.2^m|−54° 13′|NGC 6067
1480|07^h 18.6^m|−24° 59′|NGC 2362, Tau Canis Majoris Cluster
1507|19^h 08.7^m|+04° 42′|NGC 6756
1510|07^h 41.7^m|−14° 49′|Messier 46
1510|16^h 07.9^m|−54° 03′|NGC 6031
1600|18^h 45.3^m|−09° 23′|Messier 26
